alert,baroaltitude,callsign,geoaltitude,heading,icao24,lastcontact,lastposupdate,lat,lon,onground,spi,squawk,time,velocity,vertrate,aircraft_model,wingspan_m,length_m,has_dimensions,is_grounded,is_stationary,is_likely_taxiing
True,1005.84,RYS308,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815410,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,769.62,QPX309,777.24,250.36740446246955,a7869b,1563815409.852,1563815409.36,33.43702930515095,-112.05000896843111,False,False,1644,1563815410,93.39957152782252,8.128,A321,35.814,44.500800000000005,True,False,False,False
True,4480.56,JUV312,327.66,269.618033795271,acfa3d,1563815312.142,1563815098.403,33.440826416015625,-111.98545532226562,False,True,6245,1563815410,77.16831479428028,-0.97536,B737,35.78352,33.61944,True,False,False,False
True,1005.84,JUV314,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815420,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
True,1005.84,LVR315,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815430,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
True,1005.84,MKN318,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815440,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
True,1005.84,ZET321,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815450,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,9433.560000000001,KLY322,10020.300000000001,166.6854067201175,a67b81,1563815449.99,1563815449.835,33.449644961599574,-111.97523467394771,False,False,1506,1563815450,227.84991330800074,0.0,B738,35.78352,39.4716,True,False,False,False
False,419.1,ZET324,381.0,269.6629698901422,a7d630,1563815449.584,1563815448.751,33.43102406647245,-112.02181446308992,False,False,0737,1563815450,87.45699305749962,14.630400000000002,A320,35.814,37.58184,True,False,False,False
True,1005.84,JUV325,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815460,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,9425.94,VOR327,10012.68,170.28331418221492,a67b81,1563815459.957,1563815459.823,33.4295654296875,-111.97062377929686,False,False,1506,1563815460,228.6059711006184,-1.30048,B738,35.78352,39.4716,True,False,False,False
False,571.5,PNK328,556.26,269.6527571029142,a7d630,1563815459.985,1563815459.705,33.430884409759,-112.03184789540816,False,False,0737,1563815460,84.88481890689722,14.630400000000002,A320,35.814,37.58184,True,False,False,False
True,1005.84,RYS331,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815470,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,716.2800000000001,XAL332,723.9000000000001,271.76782705585606,a7d630,1563815469.91,1563815469.91,33.43111717094809,-112.04115264269771,False,False,0737,1563815470,83.3796133042939,12.679680000000001,A320,35.814,37.58184,True,False,False,False
True,1005.84,QPX333,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815480,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
False,792.48,PNK334,807.72,272.0825652797309,a7d630,1563815479.973,1563815479.697,33.43134993213718,-112.0496165995695,False,False,0737,1563815480,84.93936262344154,4.8768,A320,35.814,37.58184,True,False,False,False
True,1005.84,KLY335,,269.63506366426935,a47d05,1563815225.313,1563815208.603,33.440846588652015,-111.9942925900829,True,False,6231,1563815490,80.76934634007137,-4.8768,B738,35.78352,39.4716,True,True,False,True
